"","File.Name","date","elevation","siteID","aspect","project","sp","plantID","leafID","height","root_depth","grazing","fire","resprout","no_root_scan","root_wet_mass_g","no_tuber_scan","tuber_wet_mass_g","no_leaf","leaf_wet_mass_g","leaf_thick_1_mm","leaf_thick_2_mm","leaf_thick_3_mm","notes","drying_status","root_dry_mass","tuber_dry_mass","BGB","leaf_dry_mass","AGB","AGB.BGB","Region.of.Interest","Number.of.Root.Tips","Number.of.Branch.Points","Total.Root.Length.mm","Branching.frequency.per.mm","Network.Area.mm2","Average.Diameter.mm","Median.Diameter.mm","Maximum.Diameter.mm","Perimeter.mm","Volume.mm3","Surface.Area.mm2","Computation.Time.s","Root.Length.Diameter.Range.1.mm","Root.Length.Diameter.Range.2.mm","Root.Length.Diameter.Range.3.mm","Root.Length.Diameter.Range.4.mm","Root.Length.Diameter.Range.5.mm","Root.Length.Diameter.Range.6.mm","Root.Length.Diameter.Range.7.mm","Root.Length.Diameter.Range.8.mm","Root.Length.Diameter.Range.9.mm","Projected.Area.Diameter.Range.1.mm2","Projected.Area.Diameter.Range.2.mm2","Projected.Area.Diameter.Range.3.mm2","Projected.Area.Diameter.Range.4.mm2","Projected.Area.Diameter.Range.5.mm2","Projected.Area.Diameter.Range.6.mm2","Projected.Area.Diameter.Range.7.mm2","Projected.Area.Diameter.Range.8.mm2","Projected.Area.Diameter.Range.9.mm2","Surface.Area.Diameter.Range.1.mm2","Surface.Area.Diameter.Range.2.mm2","Surface.Area.Diameter.Range.3.mm2","Surface.Area.Diameter.Range.4.mm2","Surface.Area.Diameter.Range.5.mm2","Surface.Area.Diameter.Range.6.mm2","Surface.Area.Diameter.Range.7.mm2","Surface.Area.Diameter.Range.8.mm2","Surface.Area.Diameter.Range.9.mm2","Volume.Diameter.Range.1.mm3","Volume.Diameter.Range.2.mm3","Volume.Diameter.Range.3.mm3","Volume.Diameter.Range.4.mm3","Volume.Diameter.Range.5.mm3","Volume.Diameter.Range.6.mm3","Volume.Diameter.Range.7.mm3","Volume.Diameter.Range.8.mm3","Volume.Diameter.Range.9.mm3","SRL","RTD","RDMC"
"11","FBS3237","12/5/2023",2200,2,"W","R","TT",1,25.9,18.2,13.5,"N","Y","",4,0.0329,NA,NA,5,0.1568,0.144,0.134,0.153,"","SfD11",0.0146,NA,11.4131,0.0579,6.4638,0.566349195,"Full",555,739,930.813332,0.793929,144.77928,0.193476,0.169333,0.762,1678.774581,36.312537,565.512195,2.104,692.215977,216.299634,21.973581,0.32414,0,0,0,0,0,97.078391,70.105356,12.523159,0.246513,0,0,0,0,0,305.037786,220.357303,39.342663,0.774442,0,0,0,0,0,11.92801,18.581643,5.655639,0.147244,0,0,0,0,0,63.7543378082192,0.402064994797802,443.768996960486
"12","FCM1008","12/5/2023",2200,2,"W","R","TT",2,25.8,15.5,14.8,"N","Y","",5,0.0777,NA,NA,5,0.1016,0.178,0.133,0.12,"","SfD11",0.0322,NA,3.775,0.0353,3.049,0.807682119,"Full",1921,3032,2111.636662,1.435853,385.404247,0.249014,0.18932,1.497906,3372.284437,149.030508,1668.903608,2.234,1256.94457,694.46406,117.85395,33.840497,6.701217,1.832367,0,0,0,192.118681,230.84929,69.642276,28.628789,7.222818,2.425595,0,0,0,604.022552,725.568972,218.924648,89.939993,22.82721,7.620232,0,0,0,25.446063,62.910766,32.775372,19.158041,6.211189,2.529077,0,0,0,65.5787783229814,0.216063143259231,414.414414414414
"13","FBK1070","12/5/2023",2200,2,"W","R","TT",3,17.2,19.2,16.6,"N","Y","",5,0.0643,NA,NA,5,0.0687,0.117,0.123,0.123,"","SfD11",0.0285,NA,2.7946,0.0315,2.6789,0.958598726,"Full",1737,2545,1606.943195,1.583752,233.022831,0.20641,0.169333,1.643929,2609.87385,88.505711,1054.380554,1.705,1187.816109,327.786352,53.650609,29.35368,6.277884,1.540289,0.518272,0,0,163.608694,105.12592,32.481675,24.365806,6.868367,2.060621,0.819056,0,0,514.217068,330.947473,102.044192,76.547437,21.577611,6.473633,2.573141,0,0,19.956276,27.79966,15.666782,15.973205,5.92053,2.171826,1.017432,0,0,56.383971754386,0.322013118452887,443.234836702955
"14","FBO8536","12/5/2023",2200,2,"W","R","TT",4,21.1,18.3,18.2,"Y","Y","",5,0.07,NA,NA,5,0.2021,0.141,0.136,0.129,"","SfD11",0.0297,NA,5.648,0.0742,3.0583,0.541483711,"Full",1057,1519,1528.819915,0.993577,265.999468,0.226335,0.169333,1.129594,2637.406023,90.460676,1088.622907,1.821,1013.637589,409.748117,80.368016,23.807711,1.258482,0,0,0,0,142.92138,134.915405,47.657708,19.549615,1.32395,0,0,0,0,449.073708,424.179755,149.793206,61.416927,4.159311,0,0,0,0,17.679704,36.503422,22.499677,12.682194,1.095681,0,0,0,0,51.475418013468,0.32831945673278,424.285714285714
"15","FBG3400","12/5/2023",2200,2,"W","R","TT",5,18.5,15,11.7,"N","Y","",3,0.0632,NA,NA,5,0.0982,0.115,0.117,0.107,"","SfD11",0.0266,NA,0.9894,0.0367,2.9319,2.963311098,"Full",743,1173,768.326805,1.526694,178.28459,0.346882,0.254,1.581704,1066.559594,115.791022,854.888946,0.723,343.606218,247.642037,105.329515,46.066623,17.765046,6.915892,1.001473,0,0,54.624923,84.890979,63.728711,38.481815,19.34122,9.20147,1.540181,0,0,171.682209,266.955191,200.658139,120.894188,60.953325,28.907271,4.838622,0,0,7.421374,23.962586,30.790102,25.41662,16.703035,9.636165,1.861139,0,0,28.8844663533835,0.229724200897026,420.886075949367
"16","FBF4179","12/8/2023",2800,5,"NW","R","TT",2,NA,12,28.8,"","Y","",5,0.122,NA,NA,5,0.0868,0.108,0.214,0.131,"","SfD14",0.04337,NA,26.32,0.03033,12.06,0.458206687,"Full",2069,3030,2692.936938,1.125166,584.136825,0.290635,0.239473,1.338698,4336.697738,257.360725,2481.266457,2.423,1393.520266,922.817531,284.815563,74.018532,15.970757,1.794289,0,0,0,223.756393,314.485671,169.606458,61.848891,17.243387,2.291866,0,0,0,703.122521,989.018332,533.449776,194.30402,54.171699,7.200109,0,0,0,30.886802,88.150351,80.482765,40.873951,14.66674,2.300116,0,0,0,62.0921590500346,0.168518331614119,355.491803278689
"17","FCH5965","12/8/2023",2800,5,"NW","R","TT",4,NA,11.5,17.6,"","Y","",5,0.0388,NA,NA,5,0.1094,0.111,0.096,0.096,"","SfD14",0.01159,NA,4.77,0.03535,2.42,0.507337526,"Full",1153,1379,1446.519483,0.953323,250.936774,0.220521,0.169333,0.883946,2519.318152,74.068,1008.641249,2.512,975.253717,409.887152,57.649756,3.728858,0,0,0,0,0,147.797963,136.821771,33.351941,2.953901,0,0,0,0,0,464.412455,430.098528,104.850314,9.279952,0,0,0,0,0,19.369589,37.519303,15.338329,1.840779,0,0,0,0,0,124.807548144953,0.156477831182157,298.711340206186
"18","FCX5914","12/8/2023",2600,4,"W","R","TT",1,17.5,9.2,17,"","","",4,0.0296,NA,NA,5,0.1726,0.144,0.135,0.12,"","Djoe",0.01187,NA,6.23,0.05718,2.96,0.475120385,"Full",304,340,315.982704,1.076008,57.713146,0.235431,0.18932,0.83387,534.013928,17.873423,236.336561,0.892,178.904258,127.775598,8.971444,0.331403,0,0,0,0,0,26.421397,43.482142,5.012123,0.256845,0,0,0,0,0,83.005268,136.778344,15.746048,0.806902,0,0,0,0,0,3.435888,12.060257,2.220762,0.156515,0,0,0,0,0,26.6202783487784,0.664114534748045,401.013513513514
"19","FCT4052","12/8/2023",2600,4,"W","R","TT",2,36.2,9.4,18,"","Y","",4,0.0481,NA,NA,5,0.1821,0.11,0.123,0.116,"","SfD14",0.01797,NA,2.86,0.06666,0.5,0.174825175,"Full",1172,1446,1672.166666,0.864746,319.00653,0.242158,0.18932,1.325243,2897.160394,105.272733,1280.246644,1.338,1063.160075,496.323022,96.041496,15.161653,1.02928,0.45114,0,0,0,168.47025,169.22925,55.343082,12.560469,1.145601,0.58004,0,0,0,529.2649,532.03758,174.063025,39.459876,3.599012,1.82225,0,0,0,22.669281,47.423836,25.371775,8.215699,1.006178,0.585964,0,0,0,93.0532368391764,0.170699472578526,373.596673596674
"20","FCP0847","12/8/2023",2600,4,"W","R","TT",3,22.5,21.5,14.8,"","","",5,0.0304,NA,NA,4,0.1935,0.227,0.274,0.24,"","Djoe",0.0105,NA,7.5,0.04616,1.75,0.233333333,"Full",814,994,1264.745192,0.785929,225.130374,0.221407,0.18932,0.946602,2249.086086,60.183964,879.553142,1.361,845.638702,381.901116,35.45041,1.754964,0,0,0,0,0,137.209668,121.095351,20.084044,1.422253,0,0,0,0,0,431.152284,380.664019,63.2687,4.468139,0,0,0,0,0,18.757867,31.438954,9.077387,0.909757,0,0,0,0,0,120.451923047619,0.174465078438502,345.394736842105
